Random waveform, random seed
Total number of intervals = 120 (33741, 63626, 6153, 70102, 76436, 48453, 47762, 84320, 51357, 33195, 10837, 44484, 10082, 57964, 80354, 64602, 34684, 50986, 85344, 39487, 31056, 82936, 105728, 18879, 67647, 76613, 82263, 22970, 56968, 48160, 62998, 66787, 6028, 65483, 28540, 105511, 50585, 65396, 42147, 5798, 90281, 61752, 14765, 14060, 30031, 76840, 22746, 72869, 62281, 79354, 61587, 75385, 37281, 11855, 36983, 50848, 87503, 93239, 16192, 58425, 58215, 96939, 36103, 62946, 32061, 60857, 86906, 36690, 68079, 95402, 32592, 63586, 78866, 57706, 51056, 107026, 93240, 25721, 91205, 58143, 45166, 32836, 68273, 87645, 72959, 99624, 5066, 77539, 6387, 19378, 52897, 72684, 100068, 14122, 30183, 102468, 36493, 108778, 38862, 21347, 68703, 84155, 10585, 12570, 83274, 102564, 78183, 14824, 66467, 95413, 9526, 58648, 35552, 38250, 32747, 43793, 52836, 108469, 89925, 65554)
Average QPS expected = 55657
Timestamp start: 1778958776906
Timestamp end: 1778960577219

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      315.1   111.1   127.6   182.1   197.3   300.0   352.7   380.4   399.4   422.7   451.9   495.7   593.7   773.7  3076.6  58694.5    58648
read      326.1   115.6   127.6   191.6   209.8   319.3   363.0   386.2   402.0   422.7   448.0   486.5   569.9   732.8  3341.4  35569.2    35552
read      324.6   109.9   127.6   190.1   207.7   317.0   362.2   385.9   401.8   422.9   448.5   487.1   572.9   747.9  3188.3  38266.3    38250
read      322.8    97.4   127.6   193.2   211.8   317.1   358.2   379.9   395.7   414.4   437.0   472.7   548.5   710.9  2558.2  32720.2    32747
read      321.6   107.9   127.6   188.1   204.8   312.6   359.3   383.9   400.7   422.2   448.8   489.4   577.4   737.2  3418.6  43830.9    43793
read      320.6   116.1   127.6   184.3   200.3   308.2   359.1   385.8   403.7   426.8   455.3   498.3   600.6   804.3  2956.0  52656.9    52836
read      425.8   360.3   127.6   202.5   222.1   335.9   397.0   439.1   477.4   537.8   650.6   970.4  2087.2  3391.9  7917.6 108305.6   108469
read      334.9   147.6   127.6   188.7   204.6   308.2   363.3   394.9   419.1   449.3   491.4   568.5   758.0  1310.9  3359.2  89862.5    89925
read      314.7   114.1   127.6   182.2   197.2   298.3   350.6   378.7   398.4   422.5   452.9   498.7   607.4   789.2  3021.4  65688.6    65554

Total QPS = 55652.9 (100175176 / 1800.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 24743267731 bytes :   13.1 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 100.00%,49.50%,100.00%
