Random waveform, random seed
Total number of intervals = 120 (8794, 40063, 46840, 31371, 23169, 33123, 74093, 43746, 109504, 55683, 74168, 50019, 7093, 8709, 77678, 39158, 72064, 68204, 89201, 71080, 26386, 23025, 26336, 33536, 83654, 88285, 11070, 82737, 106734, 24635, 109672, 54427, 67566, 86347, 91773, 40716, 104275, 56083, 83595, 39137, 30782, 96113, 14665, 8153, 92867, 61763, 91275, 84624, 12890, 104685, 25802, 77930, 70019, 37571, 56571, 92477, 15059, 25506, 50922, 70175, 29286, 50147, 64756, 95414, 26577, 87793, 41309, 94067, 73425, 63130, 66354, 83690, 60643, 59558, 105037, 50454, 71944, 59429, 33193, 88062, 46874, 66794, 18645, 24428, 83450, 23341, 90106, 62399, 79400, 97184, 54232, 39714, 67459, 67304, 90627, 98099, 107108, 9823, 20059, 60275, 75431, 67923, 91363, 87246, 85280, 7187, 16998, 65430, 85379, 106654, 30909, 24090, 87501, 75423, 43571, 108470, 107055, 55599, 32411, 70582)
Average QPS expected = 60164
Timestamp start: 1778954570704
Timestamp end: 1778956371021

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      336.7   163.8   127.6   186.1   201.0   304.7   361.9   395.5   421.8   455.6   502.0   586.6   826.0  1708.5  3820.0  75453.1    75431
read      334.5   156.1   127.6   185.7   200.6   305.8   363.2   396.1   421.4   452.9   495.2   568.2   774.8  1663.2  3818.4  68014.3    67923
read      354.8   209.0   127.6   188.6   204.2   307.0   365.0   401.1   432.2   475.1   540.8   666.6  1137.0  2256.5  4778.0  91349.5    91363
read      364.1   258.3   127.6   188.5   204.1   308.9   368.5   406.0   438.0   483.9   552.0   684.9  1276.1  3232.8  7444.6  87226.5    87246
read      356.2   212.4   127.6   189.6   205.3   309.2   367.9   404.1   435.1   478.1   542.3   665.2  1092.9  2286.3  6190.9  85269.8    85280
read      326.5   110.9   137.8   213.7   231.2   313.4   349.1   370.5   386.7   404.2   431.5   474.4   577.5   979.3  3792.4   7185.1     7187
read      354.5   123.0   127.6   202.7   224.5   345.8   392.5   418.0   435.8   459.9   489.4   534.8   653.2   865.0  3787.0  16995.7    16998
read      379.1   414.0   127.6   183.4   197.9   300.3   358.2   392.5   418.9   452.9   501.6   631.1  2438.4  5176.1  8111.7  65240.5    65430
read      329.0   151.4   127.6   184.7   199.3   297.6   352.8   385.4   410.0   442.4   489.6   572.0   796.3  1563.1  3477.4  85460.7    85379
read      415.0   373.7   127.6   196.3   214.5   319.7   377.9   420.1   458.8   520.8   641.3   974.2  2143.4  3592.1  7904.6 106554.2   106654
read      327.1   105.6   127.6   193.0   210.7   318.9   362.6   386.1   402.1   422.9   449.2   491.2   586.6   816.2  3208.3  30866.2    30909
read      323.2   113.8   127.6   199.7   218.5   316.2   353.6   373.7   389.4   405.8   429.5   465.7   544.7   842.0  3725.6  24182.2    24090
read      326.3   132.8   127.6   186.4   201.2   299.5   353.1   384.5   407.6   437.7   481.9   555.4   734.9  1147.0  3026.6  87469.5    87501
read      318.9   136.1   127.6   184.1   198.7   296.2   349.2   379.2   401.0   428.0   463.8   520.9   657.0  1064.1  4469.8  75350.8    75423
read      319.5   108.5   118.1   187.7   203.3   309.1   356.1   381.1   398.7   420.2   447.3   489.8   581.9   797.7  3114.6  43613.1    43571
read      390.9   277.2   127.6   197.4   215.8   319.5   375.7   415.5   451.6   506.2   610.6   843.9  1573.7  2740.5  7128.7 108501.9   108470
read      379.5   239.9   127.6   196.1   214.1   318.1   374.7   414.0   448.8   500.9   591.8   775.4  1379.1  2343.0  4920.9 107113.9   107055
read      317.6   113.1   118.1   182.9   197.8   301.9   354.2   382.1   401.6   426.0   457.6   504.6   620.1   812.1  3093.1  55592.9    55599
read      323.7   103.5   127.6   192.8   210.5   316.7   358.6   381.1   397.3   417.1   441.4   482.0   567.3   737.0  3058.7  32464.5    32411
read      315.1   119.2   127.6   182.2   196.6   294.4   347.1   376.7   398.4   424.9   459.9   512.9   641.1   888.9  3346.3  70545.4    70582

Total QPS = 60150.8 (108271360 / 1800.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 26743026414 bytes :   14.2 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 100.00%,49.75%,100.00%
