Random waveform, supplied seed
Total number of intervals = 360 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330)
Average QPS expected = 57436
Timestamp start: 1778960935070
Timestamp end: 1778962735448

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      330.0   101.8   127.6   192.4   210.7   322.5   367.3   391.3   407.9   429.5   456.6   496.7   590.0   789.4  2116.3  32048.0    32052
read      345.1   127.1   137.8   199.1   219.7   331.5   378.6   403.9   424.8   448.3   476.8   525.1   657.8  1369.1  3762.3  18165.6    18173
read      511.1   829.2   127.6   187.9   205.4   317.7   379.0   420.1   454.2   501.2   597.0  1568.8  4735.5  8016.0 10500.5  67638.6    67789
read      325.5   123.6   127.6   182.3   197.8   308.7   363.6   393.1   414.8   440.8   472.6   524.9   640.2   864.7  3073.7  51972.0    51929
read      353.0   199.0   127.6   185.2   201.6   311.8   371.5   407.4   437.4   476.5   537.3   650.0  1018.3  2043.7  5391.6  83762.2    83850
read      350.7   162.0   127.6   198.7   219.9   333.4   380.9   407.5   428.5   452.7   483.0   535.2   691.9  1986.5  7040.0  18668.0    18614
read      399.9   298.6   127.6   188.1   208.1   360.9   432.7   470.1   497.8   531.2   579.3   656.7  1205.6  4788.6  7881.5  29348.2    29315
read      720.9  1101.9   127.6   231.5   255.8   376.6   454.5   517.1   580.3   699.2  1487.0  3297.7  5848.8  9069.9 12634.6 107758.4   108090
read      337.7   252.6   127.6   193.2   210.5   313.3   359.4   385.8   404.4   429.6   461.1   509.6   701.8  3323.8  8071.7  27215.0    27024
read      325.9   118.5   127.6   183.7   199.4   311.2   364.6   393.4   414.4   439.4   470.2   520.8   634.7   826.8  2228.1  49741.6    49907
read      306.4   101.1   137.8   199.4   215.3   295.2   328.3   346.6   362.0   378.6   400.6   440.3   547.2  1225.8  3077.1   9180.2     9150
read      436.1   431.8   127.6   188.9   210.8   371.7   451.5   495.2   528.1   570.1   625.2   724.7  1863.9  7086.9  9292.1  34319.2    34328
read      471.5   545.7   127.6   188.5   206.4   339.6   416.4   467.7   513.4   589.1   725.7  1208.9  2851.9  7206.1  9562.9  51808.8    51881
read      337.9   169.8   137.8   204.2   224.2   323.3   363.8   386.3   401.7   422.8   449.5   491.9   624.8  2450.1  7650.7  14583.4    14569
read      700.5  1194.5   127.6   208.6   232.3   345.5   418.8   478.6   540.6   648.0  1231.5  3274.6  6848.8 10120.9 12678.9  81353.4    81517
read      335.5   148.0   127.6   183.6   199.2   305.8   363.8   397.3   423.9   456.9   502.6   589.0   803.6  1321.3  2972.6  78726.4    78694
read      388.1   268.7   127.6   190.7   208.3   321.1   382.9   424.3   460.4   515.3   615.5   816.7  1486.3  2689.4  7148.2  93533.8    93409
read      329.6   122.7   127.6   189.5   206.2   319.2   367.4   393.2   411.8   434.4   462.6   504.4   606.9   823.7  3519.3  38975.8    39093
read      344.7   181.5   137.8   197.6   217.9   325.3   370.0   395.3   414.6   437.8   467.4   516.8   699.3  2759.9  6808.9  18654.2    18729
read      585.1   964.2   127.6   192.5   212.1   328.4   396.5   444.2   486.3   557.6   763.6  2403.7  5511.7  8483.2 10820.5  70792.2    70818
read      332.6   138.6   137.8   199.5   219.3   321.9   361.1   382.9   398.7   419.5   446.3   487.9   598.0  1938.3  4139.6  21913.8    21942
