Random waveform, supplied seed
Total number of intervals = 330 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498)
Average QPS expected = 57280
Timestamp start: 1778964666007
Timestamp end: 1778966316389

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      681.0  1053.9   127.6   199.8   218.9   320.0   390.4   450.7   518.6   747.8  1733.5  3118.1  5233.7  8081.3 11669.2  76217.4    75954
read      324.9   101.0   127.6   191.4   207.6   315.5   364.6   390.0   407.0   428.3   455.1   494.4   576.7   718.6  1791.5  44703.2    44409
read      333.8   114.3   137.8   208.8   227.9   324.3   362.5   383.6   398.4   417.2   440.0   478.5   575.9  1318.2  3350.3  16519.6    16431
read      595.4   917.7   127.6   199.5   219.6   334.3   401.0   451.1   499.5   592.1   996.6  2457.5  4911.2  8126.7 10699.0  85764.8    85707
read      316.2   102.5   127.6   185.1   199.7   301.3   353.2   380.8   400.1   423.7   453.4   497.6   596.0   793.2  1792.6  58023.4    58253
read      372.4   229.6   127.6   192.6   210.0   313.1   369.6   407.7   442.4   495.0   586.0   760.8  1328.7  2368.4  3875.3 103715.4   103867
read      342.1   148.2   137.8   203.3   222.5   329.2   371.0   394.4   411.4   432.2   460.2   503.2   638.2  2080.2  4863.0  21601.6    21604
read      662.3   992.3   137.8   211.4   232.3   349.8   423.8   481.4   541.0   667.7  1447.4  2939.2  5055.5  8123.2 10935.6  90479.2    90401
read      327.7   148.9   127.6   186.6   201.5   300.7   354.2   385.1   407.8   437.0   479.2   549.6   725.3  1541.5  3933.6  84474.6    84467
read      374.7   254.9   127.6   191.8   208.9   313.1   369.9   407.5   440.5   490.8   580.3   767.1  1391.4  2492.1  7370.5  99820.2    99700
read      326.2    91.7   137.8   196.9   214.5   321.1   363.5   385.6   400.6   419.8   442.3   475.4   546.3   696.7  1923.7  31991.0    32052
read      341.3   116.5   137.8   206.1   225.8   331.0   372.7   395.6   412.2   432.3   459.8   500.9   622.5  1431.3  3164.8  18250.0    18173
read      521.1   831.1   137.8   189.3   205.2   303.3   364.0   403.0   437.2   489.1   639.8  1996.1  4427.4  8082.1 11995.3  67575.4    67789
read      322.2   109.5   127.6   189.0   204.5   308.3   360.4   388.0   406.7   429.9   458.8   500.2   589.8   747.4  2523.1  52040.4    51929
read      324.9   140.9   127.6   185.3   200.2   297.9   351.9   383.1   405.4   434.9   474.7   544.7   729.5  1409.0  3451.2  83807.4    83850
read      347.7   208.0   137.8   208.1   228.0   332.5   375.0   398.3   415.6   435.0   463.0   505.8   658.1  1959.7  7999.7  18626.0    18614
read      381.9   253.7   127.6   195.5   215.4   353.9   417.7   451.4   474.1   502.0   537.3   599.7   956.2  4234.5  7404.3  29199.8    29315
read      542.1   724.3   137.8   216.4   238.6   354.1   414.3   458.7   499.9   568.3   740.4  1692.0  3782.4  7771.5  9180.7 108290.0   108090
read      332.4   123.2   127.6   205.8   224.5   327.4   367.1   388.0   401.9   420.2   441.2   471.8   541.8   702.3  5313.7  26798.8    27024
