Random waveform, supplied seed
Total number of intervals = 330 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498)
Average QPS expected = 57280
Timestamp start: 1778962964068
Timestamp end: 1778964614449

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      349.2   189.6   127.6   187.7   203.5   305.0   362.3   398.1   428.7   470.6   540.6   663.5  1010.3  1730.5  4193.6  93259.8    93409
read      323.9   111.0   127.6   187.9   203.6   313.5   362.6   388.6   406.1   428.3   456.5   498.6   588.1   742.1  2875.5  39172.4    39093
read      348.5   190.9   137.8   200.5   220.6   331.3   376.2   400.2   418.7   439.4   467.6   514.5   674.5  2996.1  7645.8  18728.0    18729
read      557.8   917.3   127.6   188.8   205.0   305.0   368.1   410.5   448.6   506.0   695.6  2478.2  4971.7  8136.7 12169.6  70595.4    70818
read      330.2   114.4   127.6   202.3   221.9   321.8   360.5   381.9   397.5   417.0   441.1   479.6   575.8  1063.8  3920.4  22017.0    21942
read      348.4   180.6   127.6   187.4   202.9   305.2   362.8   398.7   429.6   471.5   540.7   657.2  1006.9  1710.5  3418.4  91900.6    91810
read      325.9   109.6   127.6   189.5   205.7   314.8   364.3   390.6   409.0   431.4   459.6   500.3   591.3   777.3  2498.5  39665.4    39588
read      325.4   110.0   127.6   188.6   204.6   314.5   364.1   390.6   409.0   431.5   460.1   501.4   589.7   769.1  2499.5  40884.6    40957
read      316.4   118.5   127.6   181.9   196.2   297.0   350.2   380.1   401.3   428.3   462.4   514.2   634.8   860.7  2821.8  62626.4    62645
read      332.2   125.6   127.6   200.4   219.3   320.6   362.9   386.2   402.3   424.0   451.0   492.4   602.1  1277.1  3949.7  15616.4    15539
read      603.5   843.1   127.6   224.4   247.7   369.3   431.9   476.3   518.7   590.4   921.2  2364.0  4247.2  8089.1 11645.9 107801.6   107672
read      332.8   119.1   127.6   194.0   212.0   323.7   369.7   394.5   412.3   433.4   461.4   502.3   592.6   838.6  3174.1  32969.4    32954
read      318.6   122.4   127.6   182.6   197.0   299.3   353.0   382.7   403.3   429.6   462.9   513.2   635.3   997.6  3604.2  59060.0    58866
read      325.9    98.6   127.6   200.7   219.4   318.4   357.2   378.2   394.3   412.9   436.2   474.5   558.5   740.6  3774.4  23796.2    23739
read      326.9   123.1   127.6   185.5   200.7   308.6   362.8   393.0   415.4   442.1   475.9   530.8   650.7   896.3  3256.0  54689.0    54701
read      322.4   125.8   127.6   182.6   197.2   301.0   356.1   386.8   408.9   436.5   472.6   533.4   668.3  1031.2  2948.1  60836.4    60706
read      324.8   167.1   127.6   182.8   197.1   297.0   351.9   383.5   406.3   435.8   476.4   545.2   710.3  1965.5  5859.1  72456.6    72350
read      320.3   129.8   127.6   182.2   196.7   300.0   353.9   383.9   404.5   431.5   465.8   521.1   655.4  1127.4  3469.4  58638.0    58661
read      325.6   119.6   137.8   191.1   207.7   316.6   362.3   386.8   403.3   425.6   453.0   493.9   583.0   765.4  2945.6  34850.8    34912
